answer_type,question_text,user_answer
radio,have you ever heard about sprinto before applying?,
radio,have you applied to sprinto for a role before?,
radio,which industry did your last organizations belong to?,
radio,what was the size of your last organization?,
radio,how many years of professional experience do you have?,
radio,"in your last roles, what capacity did you work in?",
radio,how many years have you been in your current company?,
radio,what kind of work setup do you prefer?,
text,briefly describe the focus of your current or last organization?,
text,what are your top 3 kpis from your last two roles?,
radio,what is your biggest motivation for choosing a job?,
text,your annual ctc (fixed + variable) in lpa,
text,your expected ctc in lpa,
dropdown,"notice period
notice period",
dropdown,"邮箱地址
邮箱地址",
dropdown,"国家/地区电话区号
国家/地区电话区号",
text,手机号码,
numeric,whats your current ctc in lakhs / year ?,
numeric,"how many days you need to join, if selected and offered ?",
dropdown,"are you open to work from office, 5 days / week ?
are you open to work from office, 5 days / week ?",
numeric,kindly share you current ctc in annual inr?,
numeric,what's your current ctc?,
dropdown,"do you have a laptop with wifi?
do you have a laptop with wifi?",
dropdown,"have you supported customers based in the us or north america?
have you supported customers based in the us or north america?",
numeric,what is your current ctc?,
dropdown,"are you located in india?
are you located in india?",
radio,are you available to work 9:00 am – 5:00 pm pst and open to supporting alternate shifts or additional coverage as operational needs require?,
radio,can you work 40 hours per week?,
radio,"this role sometimes requires nights and weekends, please confirm that is acceptable.",
numeric,what's your expected ctc?,
dropdown,"2.are you ok with the budget of 12lpa?
2.are you ok with the budget of 12lpa?",
dropdown,"have you completed a bachelor’s degree in any of the following? computer science, information systems, engineering, or a related field.
have you completed a bachelor’s degree in any of the following? computer science, information systems, engineering, or a related field.",
dropdown,"are you ready to support 3 pm to 12.30 am shift?
are you ready to support 3 pm to 12.30 am shift?",
numeric,what is your ectc?,
numeric,what is your exp as a netsuite developer?,
numeric,how would you rate your communication skills on a scale of 1 to 10?,
dropdown,"are you an immediate joiner? 
are you an immediate joiner?",
dropdown,"have you held a cto, cio or vp engineering role at an fmcg/cpg company or a major system integrator serving the sector?
have you held a cto, cio or vp engineering role at an fmcg/cpg company or a major system integrator serving the sector?",
numeric,please enter the exact number of fmcg companies where you currently hold active & direct relationships with it leadership or the c-suite,
dropdown,"have you led or overseen a dms/wms rollout, sap s/4hana migration or large it transformation at an fmcg firm?
have you led or overseen a dms/wms rollout, sap s/4hana migration or large it transformation at an fmcg firm?",
dropdown,"what is your current fixed compensation range?
what is your current fixed compensation range?",
radio,your notice period (in days),
dropdown,"have you previously worked at or sold into b2b saas companies?
have you previously worked at or sold into b2b saas companies?",
dropdown,"have you worked at a startup or early-stage company?
have you worked at a startup or early-stage company?",
dropdown,"have you used a structured sales methodology (e.g. meddpicc, challenger, spin)?
have you used a structured sales methodology (e.g. meddpicc, challenger, spin)?",
dropdown,"do you have deep technical or commercial knowledge of commodity pricing in at least one of these substrates: plastics, paper, metal, glass?
do you have deep technical or commercial knowledge of commodity pricing in at least one of these substrates: plastics, paper, metal, glass?",
dropdown,"part of this role involves contributing local market insights to drive data accuracy. are you currently in a position where you hear about or negotiate regional packaging prices on a weekly basis?
part of this role involves contributing local market insights to drive data accuracy. are you currently in a position where you hear about or negotiate regional packaging prices on a weekly basis?",
dropdown,"are you currently based in and actively working within the specific target area/region you are applying for?
are you currently based in and actively working within the specific target area/region you are applying for?",
numeric,how big is your packagng network that you can contact immediately?,
numeric,cgpa in mba,
